#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.07 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2011.25710,,,23.65000,
2011.27050,,23.52000,,
2011.28430,,,23.92000,
2011.29780,,23.34000,,
2011.31150,,,23.47000,
2011.32500,,21.96000,,
2011.33860,,,20.70000,
2011.35210,,22.06000,,
2011.36570,,,24.29000,
2011.37930,,21.55000,,
2011.39290,,,25.21000,
2011.40640,,24.68000,,
2011.42000,,,25.30000,
2011.43360,,25.32000,,
2011.44710,,,25.94000,
2011.46070,,26.12000,,
2011.47430,,,28.27000,
2011.48790,,25.95000,,
2011.50140,,,26.28000,
2011.51510,,24.67000,,
2011.52860,,,25.45000,
2011.54210,,22.58000,,
2011.55580,,,24.50000,
2011.56930,,24.66000,,
2011.58300,,,25.45000,
2011.59650,,26.54000,,
2011.61000,,,28.07000,
2011.62360,,25.48000,,
2011.63720,,,28.30000,
2011.65080,,29.43000,,
2011.66440,,,27.73000,
2011.67780,,27.08000,,
2011.69160,,,25.95000,
2011.70510,,23.09000,,
2011.71870,,,25.45000,
2011.73190,,26.18000,,
2011.74590,,,27.79000,
2011.75910,,28.20000,,
2011.77300,,,30.12000,
2011.78670,,30.02000,,
2011.80020,,,31.20000,
2011.81370,,25.90000,,
2011.82730,,,26.82000,
2011.84080,,26.04000,,
2011.85440,,,26.28000,
2011.86800,,22.34000,,
