Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Nelson Aero,4241,G13222,-41.299,173.226,2,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(UTC),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
4241,19420626:2100,0.0,-,-,-,24,D
4241,19420627:2100,0.0,-,-,-,24,D
4241,19420628:2100,0.0,-,-,-,24,D
4241,19420629:2100,14.0,-,-,-,24,D
4241,19420630:2100,1.0,-,-,-,24,D
4241,19420701:2100,2.0,-,-,-,24,D
4241,19420702:2100,4.6,-,-,-,24,D
4241,19420703:2100,0.0,-,-,-,24,D
4241,19420704:2100,17.3,-,-,-,24,D
4241,19420705:2100,5.3,-,-,-,24,D
4241,19420706:2100,8.1,-,-,-,24,D
4241,19420707:2100,9.7,-,-,-,24,D
4241,19420708:2100,0.0,-,-,-,24,D
4241,19420709:2100,0.0,-,-,-,24,D
4241,19420710:2100,0.0,-,-,-,24,D
4241,19420711:2100,0.3,-,-,-,24,D
4241,19420712:2100,57.7,-,-,-,24,D
4241,19420713:2100,17.5,-,-,-,24,D
4241,19420714:2100,0.0,-,-,-,24,D
4241,19420715:2100,0.0,-,-,-,24,D
4241,19420716:2100,0.0,-,-,-,24,D
4241,19420717:2100,6.4,-,-,-,24,D
4241,19420718:2100,1.3,-,-,-,24,D
4241,19420719:2100,0.0,-,-,-,24,D
4241,19420720:2100,10.4,-,-,-,24,D
4241,19420721:2100,8.1,-,-,-,24,D
4241,19420722:2100,0.0,-,-,-,24,D
4241,19420723:2100,0.0,-,-,-,24,D
4241,19420724:2100,0.0,-,-,-,24,D
4241,19420725:2100,0.0,-,-,-,24,D
4241,19420726:2100,0.0,-,-,-,24,D
4241,19420727:2100,0.0,-,-,-,24,D
4241,19420728:2100,0.0,-,-,-,24,D
4241,19420729:2100,0.0,-,-,-,24,D
4241,19420730:2100,0.0,-,-,-,24,D
4241,19420731:2100,0.0,-,-,-,24,D
4241,19420801:2100,0.0,-,-,-,24,D
4241,19420802:2100,0.0,-,-,-,24,D
4241,19420803:2100,0.0,-,-,-,24,D
4241,19420804:2100,0.0,-,-,-,24,D
4241,19420805:2100,21.3,-,-,-,24,D
4241,19420806:2100,5.6,-,-,-,24,D
4241,19420807:2100,0.0,-,-,-,24,D
4241,19420808:2100,0.0,-,-,-,24,D
4241,19420809:2100,1.3,-,-,-,24,D
4241,19420810:2100,23.6,-,-,-,24,D
4241,19420811:2100,0.0,-,-,-,24,D
4241,19420812:2100,0.8,-,-,-,24,D
4241,19420813:2100,0.8,-,-,-,24,D
4241,19420814:2100,2.3,-,-,-,24,D
4241,19420815:2100,0.0,-,-,-,24,D
4241,19420816:2100,0.0,-,-,-,24,D
4241,19420817:2100,0.0,-,-,-,24,D
4241,19420818:2100,0.0,-,-,-,24,D
4241,19420819:2100,0.0,-,-,-,24,D
4241,19420820:2100,0.0,-,-,-,24,D
4241,19420821:2100,0.5,-,-,-,24,D
