TMAX       200839 19400101 20201231 missing_value=99999.9 LORD HOWE ISL. AERO                       
20010401 20010430    23.4
20010501 20010531    21.3
20010601 20010630    20.0
20010701 20010731    19.0
20010801 20010831    19.0
20010901 20010930    20.0
20011001 20011031    20.7
20011101 20011130    21.4
20011201 20011231    23.8
20020101 20020131    24.6
20020201 20020228    25.3
20020301 20020331    24.6
20020401 20020430    22.8
20020501 20020531    21.4
20020601 20020630    20.2
20020701 20020731    18.9
20020801 20020831    18.5
20020901 20020930    20.4
20021001 20021031    21.0
20021101 20021130    22.5
20021201 20021231    24.4
20030101 20030131    24.9
20030201 20030228    25.3
20030301 20030331    24.3
20030401 20030430    22.6
20030501 20030531    21.5
20030601 20030630    20.8
20030701 20030731    18.6
20030801 20030831    18.6
20030901 20030930    20.0
20031001 20031031    20.6
20031101 20031130    21.9
20031201 20031231    24.0
20040101 20040131    26.1
20040201 20040229    26.5
20040301 20040331    24.6
20040401 20040430    23.7
20040501 20040531    21.9
20040601 20040630    20.5
20040701 20040731    19.3
20040801 20040831    19.3
20040901 20040930    19.9
20041001 20041031    21.1
20041101 20041130    22.7
20041201 20041231    23.8
20050101 20050131    24.9
20050201 20050228    25.9
20050301 20050331    24.7
20050401 20050430    23.7
20050501 20050531    21.4
20050601 20050630    20.2
20050701 20050731    19.5
20050801 20050831    18.9
20050901 20050930    20.0
20051001 20051031    21.8
20051101 20051130    22.5
20051201 20051231    24.8
20060101 20060131    25.6
20060201 20060228    26.5
20060301 20060331    25.4
20060401 20060430    23.2
20060501 20060531    20.9
20060601 20060630    19.1
20060701 20060731    18.7
20060801 20060831    18.7
20060901 20060930    20.3
20061001 20061031    20.3
20061101 20061130    22.5
20061201 20061231    22.7
20070101 20070131    25.3
20070201 20070228    25.7
20070301 20070331    24.9
20070401 20070430    23.2
20070501 20070531    22.7
20070601 20070630    20.1
20070701 20070731    18.5
20070801 20070831    19.4
20070901 20070930    19.9
20071001 20071031    21.5
20071101 20071130    22.7
20071201 20071231    24.4
20080101 20080131    25.4
20080201 20080229    25.1
20080301 20080331    24.5
20080401 20080430    23.1
20080501 20080531    20.6
20080601 20080630    19.8
20080701 20080731    18.8
20080801 20080831    18.4
20080901 20080930    19.7
20081001 20081031    20.6
20081101 20081130    22.0
20081201 20081231    23.7
20090101 20090131    25.0
20090201 20090228    26.0
20090301 20090331    25.2
20090401 20090430    23.3
20090501 20090531    20.3
20090601 20090630    19.8
20090701 20090731    19.0
20090801 20090831    19.7
20090901 20090930    20.7
20091001 20091031    20.8
20091101 20091130    24.2
20091201 20091231    26.2
20100101 20100131    27.3
20100201 20100228    26.7
20100301 20100331    25.6
20100401 20100430    24.3
20100501 20100531    21.3
20100601 20100630    19.5
20100701 20100731    19.0
20100801 20100831    19.4
20100901 20100930    20.5
20101001 20101031    20.3
20101101 20101130    22.2
20101201 20101231    24.8
20110101 20110131    25.3
20110201 20110228    26.5
20110301 20110331    25.1
20110401 20110430    23.4
20110501 20110531    20.8
20110601 20110630    19.4
20110701 20110731    18.5
20110801 20110831    18.6
20110901 20110930    19.8
20111001 20111031    21.0
20111101 20111130    23.5
20111201 20111231    22.5
20120101 20120131    23.9
20120201 20120229    25.5
20120301 20120331    24.5
20120401 20120430    23.0
20120501 20120531    21.1
20120601 20120630    19.6
20120701 20120731    18.5
20120801 20120831    18.8
20120901 20120930    19.7
20121001 20121031    20.6
20121101 20121130    21.7
20121201 20121231    24.3
20130101 20130131    26.2
20130201 20130228    25.1
20130301 20130331    24.5
20130401 20130430    23.5
20130501 20130531    21.2
20130601 20130630    19.7
20130701 20130731    19.5
20130801 20130831    19.8
20130901 20130930    20.7
20131001 20131031    21.5
20131101 20131130    22.3
20131201 20131231    23.3
20140101 20140131    24.8
20140201 20140228    25.6
20140301 20140331    25.4
20140401 20140430    24.1
20140501 20140531    21.8
20140601 20140630    20.9
20140701 20140731    19.4
20140801 20140831    18.9
20140901 20140930    19.8
20141001 20141031    21.4
