TMAX       200283 19390101 20201231 missing_value=99999.9 WILLIS ISLAND                             
19750501 19750531    27.7
19750601 19750630    26.3
19750701 19750731    26.9
19750801 19750831    27.0
19750901 19750930    28.0
19751001 19751031    29.9
19751101 19751130    30.5
19751201 19751231    30.1
19760101 19760131    30.7
19760201 19760229    30.1
19760301 19760331    30.0
19760401 19760430    28.3
19760501 19760531    27.6
19760601 19760630    26.6
19760701 19760731    25.8
19760801 19760831    24.8
19760901 19760930    26.5
19761001 19761031    28.6
19761101 19761130    30.8
19761201 19761231    32.0
19770101 19770131    31.3
19770201 19770228    31.2
19770301 19770331    29.8
19770401 19770430    28.8
19770501 19770531    27.7
19770601 19770630    25.9
19770701 19770731    25.5
19770801 19770831    25.8
19770901 19770930    26.9
19771001 19771031    28.1
19771101 19771130    29.7
19771201 19771231    30.1
19780101 19780131    30.8
19780201 19780228    30.8
19780301 19780331    30.1
19780401 19780430    28.9
19780501 19780531    27.2
19780601 19780630    26.5
19780701 19780731    26.1
19780801 19780831    26.0
19780901 19780930    27.4
19781001 19781031    27.7
19781101 19781130    29.2
19781201 19781231    30.6
19790101 19790131    29.8
19790201 19790228    30.4
19790301 19790331    28.8
19790401 19790430    27.9
19790501 19790531    27.5
19790601 19790630    26.4
19790701 19790731    25.4
19790801 19790831    25.3
19790901 19790930    27.0
19791001 19791031    28.5
19791101 19791130    29.3
19791201 19791231    30.9
19800101 19800131    31.5
19800201 19800229    31.1
19800301 19800331    29.5
19800401 19800430    28.3
19800501 19800531    27.8
19800601 19800630    26.9
19800701 19800731    26.2
19800801 19800831    25.9
19800901 19800930    26.9
19801001 19801031    28.3
19801101 19801130    29.1
19801201 19801231    29.9
19810101 19810131    29.3
19810201 19810228    30.6
19810301 19810331    29.3
19810401 19810430    29.7
19810501 19810531    27.9
19810601 19810630    27.4
19810701 19810731    27.0
19810801 19810831    26.7
19810901 19810930    27.1
19811001 19811031    28.4
19811101 19811130    30.4
19811201 19811231    31.7
19820101 19820131    31.5
19820201 19820228    30.8
19820301 19820331    29.7
19820401 19820430    28.1
19820501 19820531    27.2
19820601 19820630    25.4
19820701 19820731    25.3
19820801 19820831    24.8
19820901 19820930    26.5
19821001 19821031    27.4
19821101 19821130    28.3
19821201 19821231    30.9
19830101 19830131    31.3
19830201 19830228    30.1
19830301 19830331    29.8
19830401 19830430    29.7
19830501 19830531    28.5
19830601 19830630    26.8
19830701 19830731    25.6
19830801 19830831    25.7
19830901 19830930    28.0
19831001 19831031    29.4
19831101 19831130    30.7
19831201 19831231    29.1
19840101 19840131    29.8
19840201 19840229    29.5
19840301 19840331    29.3
19840401 19840430    29.1
19840501 19840531    27.6
19840601 19840630    26.5
19840701 19840731    25.9
19840801 19840831    26.2
19840901 19840930    28.0
19841001 19841031    28.5
19841101 19841130    29.9
19841201 19841231    31.2
